edge,presence_count,top20_count,group,n_instances,presence_frequency,overall_top20_frequency,conditional_top20_frequency
lh_caudalmiddlefrontal -- rh_parsorbitalis,4,0.0,SZ,150,0.02666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- rh_parstriangularis,38,2.0,SZ,150,0.25333333333333335,0.013333333333333334,0.05263157894736842
lh_caudalmiddlefrontal -- rh_pericalcarine,17,1.0,SZ,150,0.11333333333333333,0.006666666666666667,0.058823529411764705
lh_caudalmiddlefrontal -- rh_postcentral,10,0.0,SZ,150,0.06666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- rh_posteriorcingulate,85,6.0,SZ,150,0.5666666666666667,0.04,0.07058823529411765
lh_caudalmiddlefrontal -- rh_precentral,15,1.0,SZ,150,0.1,0.006666666666666667,0.06666666666666667
lh_caudalmiddlefrontal -- rh_precuneus,3,0.0,SZ,150,0.02,0.0,0.0
lh_caudalmiddlefrontal -- rh_rostralanteriorcingulate,20,1.0,SZ,150,0.13333333333333333,0.006666666666666667,0.05
lh_caudalmiddlefrontal -- rh_rostralmiddlefrontal,17,0.0,SZ,150,0.11333333333333333,0.0,0.0
lh_caudalmiddlefrontal -- rh_superiorfrontal,36,3.0,SZ,150,0.24,0.02,0.08333333333333333
lh_caudalmiddlefrontal -- rh_superiorparietal,19,0.0,SZ,150,0.12666666666666668,0.0,0.0
lh_caudalmiddlefrontal -- rh_superiortemporal,38,2.0,SZ,150,0.25333333333333335,0.013333333333333334,0.05263157894736842
lh_caudalmiddlefrontal -- rh_supramarginal,13,0.0,SZ,150,0.08666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- rh_temporalpole,5,1.0,SZ,150,0.03333333333333333,0.006666666666666667,0.2
lh_caudalmiddlefrontal -- rh_transversetemporal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_cuneus -- lh_entorhinal,23,1.0,SZ,150,0.15333333333333332,0.006666666666666667,0.043478260869565216
lh_cuneus -- lh_frontalpole,18,3.0,SZ,150,0.12,0.02,0.16666666666666666
lh_cuneus -- lh_fusiform,3,0.0,SZ,150,0.02,0.0,0.0
lh_cuneus -- lh_inferiorparietal,14,2.0,SZ,150,0.09333333333333334,0.013333333333333334,0.14285714285714285
lh_cuneus -- lh_inferiortemporal,4,2.0,SZ,150,0.02666666666666667,0.013333333333333334,0.5
lh_cuneus -- lh_isthmuscingulate,4,0.0,SZ,150,0.02666666666666667,0.0,0.0
lh_cuneus -- lh_lateraloccipital,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
