edge,sz_selection_frequency,sz_mean_importance_share,ctrl_selection_frequency,ctrl_mean_importance_share,selection_frequency_difference,importance_share_difference
lh_middletemporal -- lh_superiorfrontal,0.03333333333333333,0.004753848721444525,0.0026666666666666666,0.0024422482660839294,0.030666666666666665,0.002311600455360596
lh_parsopercularis -- rh_insula,0.03333333333333333,0.0038902336006162983,0.0026666666666666666,0.0030202925425836013,0.030666666666666665,0.0008699410580326971
lh_lateraloccipital -- lh_superiorfrontal,0.04,0.0030392203808925497,0.010666666666666666,0.0024334755136479745,0.029333333333333336,0.0006057448672445753
rh_caudalmiddlefrontal -- rh_parsopercularis,0.04,0.004224283949695197,0.010666666666666666,0.0026976065325074417,0.029333333333333336,0.0015266774171877554
lh_precuneus -- lh_temporalpole,0.05333333333333334,0.0037820989488801695,0.024,0.0032502062863622944,0.029333333333333336,0.0005318926625178752
rh_frontalpole -- rh_pericalcarine,0.08666666666666667,0.003987698989690725,0.058666666666666666,0.0034980786975018887,0.028000000000000004,0.0004896202921888361
rh_precuneus -- rh_superiorparietal,0.03333333333333333,0.004010844199976867,0.005333333333333333,0.0029421636498544253,0.028,0.0010686805501224418
lh_parsopercularis -- rh_parahippocampal,0.03333333333333333,0.003437752238781364,0.005333333333333333,0.0028813296868308897,0.028,0.0005564225519504745
rh_inferiorparietal -- rh_rostralmiddlefrontal,0.06,0.003565354905604888,0.032,0.0034257022318957015,0.027999999999999997,0.00013965267370918662
lh_rostralmiddlefrontal -- rh_inferiorparietal,0.06,0.0034606649161855944,0.032,0.0033375703013733475,0.027999999999999997,0.00012309461481224693
lh_superiortemporal -- rh_postcentral,0.02666666666666667,0.0034376841063251213,0.0,0.003322862541218848,0.02666666666666667,0.00011482156510627317
rh_isthmuscingulate -- rh_parsopercularis,0.02666666666666667,0.0050874429752786445,0.0,0.0019195201873643995,0.02666666666666667,0.0031679227879142452
lh_medialorbitofrontal -- rh_supramarginal,0.02666666666666667,0.0044825724061899695,0.0,0.003237067390658874,0.02666666666666667,0.0012455050155310956
lh_frontalpole -- lh_lateralorbitofrontal,0.02666666666666667,0.003724278644522783,0.0,0.00301098943590166,0.02666666666666667,0.0007132892086211227
rh_precuneus -- rh_temporalpole,0.06666666666666667,0.0037070029602886455,0.04,0.003107119469704086,0.026666666666666665,0.0005998834905845594
lh_parsopercularis -- lh_transversetemporal,0.04,0.004537010406878694,0.013333333333333334,0.003558795406110039,0.026666666666666665,0.0009782150007686553
lh_entorhinal -- lh_precuneus,0.06666666666666667,0.0034848350635459284,0.04,0.0034398094652230175,0.026666666666666665,4.5025598322910934e-05
lh_superiorfrontal -- lh_superiortemporal,0.04,0.003334732263142348,0.013333333333333334,0.0030801003415957344,0.026666666666666665,0.0002546319215466137
lh_parstriangularis -- rh_parsopercularis,0.04666666666666667,0.003883216836203374,0.021333333333333333,0.003270800984894141,0.025333333333333336,0.000612415851309233
lh_parahippocampal -- rh_rostralmiddlefrontal,0.04666666666666667,0.0031846383932910513,0.021333333333333333,0.0030735845331278278,0.025333333333333336,0.00011105386016322348
lh_parahippocampal -- rh_superiorparietal,0.04666666666666667,0.003541329330564453,0.021333333333333333,0.0031724567091984926,0.025333333333333336,0.00036887262136596054
rh_postcentral -- rh_superiorparietal,0.06,0.0039919468961218865,0.034666666666666665,0.0032792416706623564,0.025333333333333333,0.0007127052254595301
rh_caudalmiddlefrontal -- rh_transversetemporal,0.03333333333333333,0.0033714878709716254,0.008,0.00359962620985413,0.025333333333333333,-0.00022813833888250465
rh_caudalanteriorcingulate -- rh_parsopercularis,0.03333333333333333,0.0035485769976335495,0.008,0.003052356142007845,0.025333333333333333,0.0004962208556257043
lh_inferiortemporal -- lh_middletemporal,0.03333333333333333,0.0033548640611068673,0.008,0.003013691522779739,0.025333333333333333,0.00034117253832712836
lh_cuneus -- lh_lingual,0.06,0.0041959262679303975,0.034666666666666665,0.003670939444957996,0.025333333333333333,0.0005249868229724015
lh_middletemporal -- rh_superiorfrontal,0.03333333333333333,0.0052643880033293785,0.008,0.002617640345595992,0.025333333333333333,0.0026467476577333865
lh_rostralmiddlefrontal -- rh_superiorparietal,0.06,0.0037054112760041055,0.034666666666666665,0.003324127573279618,0.025333333333333333,0.0003812837027244876
lh_parsopercularis -- rh_superiorfrontal,0.03333333333333333,0.004317151003435497,0.008,0.002992512461579388,0.025333333333333333,0.0013246385418561085
lh_superiorfrontal -- rh_inferiorparietal,0.03333333333333333,0.0032323904610347645,0.008,0.00278302116114884,0.025333333333333333,0.0004493692998859245
lh_precuneus -- rh_temporalpole,0.05333333333333334,0.0034381293283561785,0.029333333333333333,0.0033561569715611275,0.024000000000000004,8.1972356795051e-05
lh_inferiortemporal -- lh_parstriangularis,0.04,0.0038081201474215783,0.016,0.00282074937325274,0.024,0.0009873707741688384
lh_frontalpole -- rh_fusiform,0.02666666666666667,0.0020692947450963355,0.0026666666666666666,0.0017467328170251571,0.024,0.00032256192807117836
lh_cuneus -- lh_medialorbitofrontal,0.02666666666666667,0.005309453438511496,0.0026666666666666666,0.0038471936292704795,0.024,0.0014622598092410163
lh_parahippocampal -- lh_supramarginal,0.02666666666666667,0.0036241906049121913,0.0026666666666666666,0.0029005126086616624,0.024,0.000723677996250529
lh_caudalanteriorcingulate -- rh_bankssts,0.06666666666666667,0.0034051504368875197,0.042666666666666665,0.0033644288535125333,0.024,4.072158337498641e-05
rh_paracentral -- rh_pericalcarine,0.02666666666666667,0.0038544621836923594,0.0026666666666666666,0.002539662997483943,0.024,0.0013147991862084165
lh_precuneus -- rh_lingual,0.08,0.0038393075517155024,0.056,0.0037912423792357923,0.024,4.8065172479710115e-05
lh_lingual -- rh_precuneus,0.06666666666666667,0.0034777921960425988,0.042666666666666665,0.0036209136490849485,0.024,-0.0001431214530423497
rh_lateralorbitofrontal -- rh_precuneus,0.02666666666666667,0.004870029648250978,0.0026666666666666666,0.002490036501997667,0.024,0.0023799931462533106
lh_parsorbitalis -- rh_pericalcarine,0.04,0.0032629405010908335,0.016,0.0030132635636986225,0.024,0.00024967693739221105
lh_lingual -- lh_temporalpole,0.04666666666666667,0.003612719418297279,0.024,0.002833101546594629,0.02266666666666667,0.00077961787170265
lh_frontalpole -- lh_precuneus,0.03333333333333333,0.0026253600968097293,0.010666666666666666,0.002604774382320836,0.02266666666666667,2.0585714488893445e-05
lh_precentral -- rh_superiorparietal,0.03333333333333333,0.0033468124587803763,0.010666666666666666,0.0028971340925028743,0.02266666666666667,0.00044967836627750205
