group,edge,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank,mean_original_weight
ALL_SZ,lh_caudalanteriorcingulate -- lh_rostralanteriorcingulate,1,150,0.006666666666666667,0.002651418327213959,225.3125,0.9455891028046608
ALL_SZ,lh_caudalanteriorcingulate -- lh_rostralmiddlefrontal,0,150,0.0,0.0020683161435925404,209.1,-0.9310600578784942
ALL_SZ,lh_caudalanteriorcingulate -- lh_superiorfrontal,1,150,0.006666666666666667,0.0024548350543563435,224.4047619047619,-0.9474929727259136
ALL_SZ,lh_caudalanteriorcingulate -- lh_superiorparietal,0,150,0.0,0.0022048456196043184,177.33333333333334,-0.9753709435462952
ALL_SZ,lh_caudalanteriorcingulate -- lh_superiortemporal,1,150,0.006666666666666667,0.002468776905668497,221.28846153846155,-0.9527745751234201
ALL_SZ,lh_caudalanteriorcingulate -- lh_supramarginal,0,150,0.0,0.002817040553410701,222.1,-0.941058486700058
ALL_SZ,lh_caudalanteriorcingulate -- lh_transversetemporal,0,150,0.0,0.0012836405961187093,620.0,0.8806376457214355
ALL_SZ,lh_caudalanteriorcingulate -- rh_bankssts,10,150,0.06666666666666667,0.0034051504368875197,167.4758064516129,0.968443134138661
ALL_SZ,lh_caudalanteriorcingulate -- rh_caudalanteriorcingulate,3,150,0.02,0.003107042807866369,181.10280373831776,0.9719909468543864
ALL_SZ,lh_caudalanteriorcingulate -- rh_caudalmiddlefrontal,3,150,0.02,0.0034087934653722093,157.12727272727273,0.9594895427877252
ALL_SZ,lh_caudalanteriorcingulate -- rh_frontalpole,0,150,0.0,0.0015148424863960788,162.5,-0.9297880828380585
ALL_SZ,lh_caudalanteriorcingulate -- rh_fusiform,1,150,0.006666666666666667,0.0024985653509713465,224.33333333333334,0.9385020732879639
ALL_SZ,lh_caudalanteriorcingulate -- rh_inferiorparietal,1,150,0.006666666666666667,0.0027610505380882694,227.83333333333334,-0.9359248479207357
ALL_SZ,lh_caudalanteriorcingulate -- rh_inferiortemporal,1,150,0.006666666666666667,0.0027604618152745285,219.06976744186048,-0.9517865070076876
ALL_SZ,lh_caudalanteriorcingulate -- rh_insula,2,150,0.013333333333333334,0.00224735116131481,266.95348837209303,0.9370134847108708
ALL_SZ,lh_caudalanteriorcingulate -- rh_isthmuscingulate,2,150,0.013333333333333334,0.003214794240772162,193.14772727272728,0.9686948182907972
ALL_SZ,lh_caudalanteriorcingulate -- rh_lateraloccipital,1,150,0.006666666666666667,0.0025516848070749076,208.84615384615384,-0.9491874392216022
ALL_SZ,lh_caudalanteriorcingulate -- rh_lateralorbitofrontal,0,150,0.0,0.002938469047504472,166.38709677419354,0.9494049760603136
ALL_SZ,lh_caudalanteriorcingulate -- rh_medialorbitofrontal,0,150,0.0,0.0025918556950449015,236.375,-0.9581923708319663
ALL_SZ,lh_caudalanteriorcingulate -- rh_middletemporal,2,150,0.013333333333333334,0.002973987224931809,215.2153846153846,-0.9561407437691322
ALL_SZ,lh_caudalanteriorcingulate -- rh_paracentral,3,150,0.02,0.003424625842970039,162.67073170731706,0.9707930320646705
ALL_SZ,lh_caudalanteriorcingulate -- rh_parahippocampal,2,150,0.013333333333333334,0.004123041023085394,158.53333333333333,0.9494877656300863
ALL_SZ,lh_caudalanteriorcingulate -- rh_parsopercularis,7,150,0.04666666666666667,0.003919268271886607,164.3421052631579,0.9481141175094404
ALL_SZ,lh_caudalanteriorcingulate -- rh_parstriangularis,4,150,0.02666666666666667,0.003124302926223131,182.17307692307693,0.9632637179814852
ALL_SZ,lh_caudalanteriorcingulate -- rh_pericalcarine,0,150,0.0,0.001456701567591997,364.3076923076923,0.8958104298664973
ALL_SZ,lh_caudalanteriorcingulate -- rh_postcentral,0,150,0.0,0.003337330685417516,232.33333333333334,-0.9184871713320414
