group,roi,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank
ALL_CTRL,lh_inferiorparietal,36,375,0.096,0.013734719751032918,37.733333333333334
ALL_CTRL,lh_inferiortemporal,58,375,0.15466666666666667,0.014389850013862216,37.072
ALL_CTRL,lh_insula,54,375,0.144,0.01513569834024438,32.669333333333334
ALL_CTRL,lh_isthmuscingulate,38,375,0.10133333333333333,0.01384624590385553,36.93333333333333
ALL_CTRL,lh_lateraloccipital,44,375,0.11733333333333333,0.01430180397205674,36.576
ALL_CTRL,lh_lateralorbitofrontal,83,375,0.22133333333333333,0.016069934379812117,30.416
ALL_CTRL,lh_lingual,48,375,0.128,0.014416185727511181,36.87466666666667
ALL_CTRL,lh_medialorbitofrontal,81,375,0.216,0.015720363484573507,31.773333333333333
ALL_CTRL,lh_middletemporal,42,375,0.112,0.01350568654558349,38.090666666666664
ALL_CTRL,lh_paracentral,39,375,0.104,0.014076665850873448,36.845333333333336
ALL_CTRL,lh_parahippocampal,68,375,0.18133333333333335,0.01545052300956251,33.448
ALL_CTRL,lh_parsopercularis,89,375,0.23733333333333334,0.01673427580434784,30.317333333333334
ALL_CTRL,lh_parsorbitalis,47,375,0.12533333333333332,0.01399577891143563,35.784
ALL_CTRL,lh_parstriangularis,57,375,0.152,0.014125082635242538,36.242666666666665
ALL_CTRL,lh_pericalcarine,34,375,0.09066666666666667,0.014004029621507515,36.16
ALL_CTRL,lh_postcentral,26,375,0.06933333333333333,0.013187096332930734,39.83733333333333
ALL_CTRL,lh_posteriorcingulate,41,375,0.10933333333333334,0.014122546308274125,35.397333333333336
ALL_CTRL,lh_precentral,42,375,0.112,0.014567759007955173,34.86666666666667
ALL_CTRL,lh_precuneus,42,375,0.112,0.014370930641027077,33.69866666666667
ALL_CTRL,lh_rostralanteriorcingulate,80,375,0.21333333333333335,0.016162603812867996,29.613333333333333
ALL_CTRL,lh_rostralmiddlefrontal,29,375,0.07733333333333334,0.01350099515239504,35.464
ALL_CTRL,lh_superiorfrontal,43,375,0.11466666666666667,0.0138749429931284,35.944
ALL_CTRL,lh_superiorparietal,37,375,0.09866666666666667,0.013817826938416464,37.632
ALL_CTRL,lh_superiortemporal,44,375,0.11733333333333333,0.013836362864652356,37.61333333333334
ALL_CTRL,lh_supramarginal,39,375,0.104,0.014002365471018866,35.88
ALL_CTRL,lh_temporalpole,51,375,0.136,0.014659228437118527,34.138666666666666
ALL_CTRL,lh_transversetemporal,125,375,0.3333333333333333,0.01774274141592139,25.626666666666665
ALL_CTRL,rh_bankssts,44,375,0.11733333333333333,0.014237964891749345,35.218666666666664
ALL_CTRL,rh_caudalanteriorcingulate,54,375,0.144,0.014917946795693584,35.384
ALL_CTRL,rh_caudalmiddlefrontal,51,375,0.136,0.014746339497423086,34.832
ALL_CTRL,rh_cuneus,66,375,0.176,0.015167137299139613,32.333333333333336
ALL_CTRL,rh_entorhinal,52,375,0.13866666666666666,0.015218339348644503,33.4
ALL_CTRL,rh_frontalpole,62,375,0.16533333333333333,0.015184143799926086,32.74666666666667
ALL_CTRL,rh_fusiform,155,375,0.41333333333333333,0.01858772956212909,24.706666666666667
ALL_CTRL,rh_inferiorparietal,54,375,0.144,0.014562160513761399,35.59466666666667
ALL_CTRL,rh_inferiortemporal,55,375,0.14666666666666667,0.014805024396124215,35.928
ALL_CTRL,rh_insula,56,375,0.14933333333333335,0.014493092511476858,34.626666666666665
ALL_CTRL,rh_isthmuscingulate,40,375,0.10666666666666667,0.014401420747114903,34.29866666666667
ALL_CTRL,rh_lateraloccipital,53,375,0.14133333333333334,0.014669872362625149,35.89066666666667
ALL_CTRL,rh_lateralorbitofrontal,77,375,0.20533333333333334,0.015543764378357033,33.352
ALL_CTRL,rh_lingual,47,375,0.12533333333333332,0.014335437048777488,36.28
ALL_CTRL,rh_medialorbitofrontal,65,375,0.17333333333333334,0.01481110418801753,34.42666666666667
ALL_CTRL,rh_middletemporal,46,375,0.12266666666666666,0.013987486877873224,35.728
ALL_CTRL,rh_paracentral,40,375,0.10666666666666667,0.0141064742669657,37.218666666666664
ALL_CTRL,rh_parahippocampal,50,375,0.13333333333333333,0.014474723171765833,35.50666666666667
ALL_CTRL,rh_parsopercularis,52,375,0.13866666666666666,0.013968489617166301,36.46666666666667
ALL_CTRL,rh_parsorbitalis,47,375,0.12533333333333332,0.014216435686926517,36.8
ALL_CTRL,rh_parstriangularis,60,375,0.16,0.014689724984690712,32.141333333333336
ALL_CTRL,rh_pericalcarine,36,375,0.096,0.014106590411028103,35.51733333333333
ALL_CTRL,rh_postcentral,36,375,0.096,0.013889429583906732,37.522666666666666
ALL_CTRL,rh_posteriorcingulate,62,375,0.16533333333333333,0.015024390715637836,33.02133333333333
ALL_CTRL,rh_precentral,31,375,0.08266666666666667,0.013933637602529001,36.80266666666667
ALL_CTRL,rh_precuneus,45,375,0.12,0.014452867411915723,35.370666666666665
